Training features,Precision 1,Precision 3,Precision 6,Precision macro avg
APCPS,0,0.41,0,0.14
MPDC,0,0.41,0,0.14
PST,0,0.41,0,0.14
Entropy,0,0.41,0.25,0.22
PD/Entropy,0,0.43,0.43,0.29
PD,0,0.45,0.6,0.35
MPDC/Entropy,0,0.42,0.67,0.36
MPDC/PST,0.75,0.42,0,0.39
TTP/PST,0.5,0.41,0.5,0.47
MPDC/APCPS,0,0.43,1,0.48
TTP,0.58,0.43,0.5,0.5
APCPS/PST,0.75,0.42,0.37,0.51
Entropy/TTP,0.6,0.45,0.62,0.56
Entropy/PST,1,0.44,0.43,0.62
MPDC/Entropy/PST,0.75,0.49,0.62,0.62
MPDC/TTP,0.62,0.57,0.67,0.62
MPDC/TTP/PST,0.62,0.53,0.71,0.62
APCPS/TTP,0.62,0.55,0.71,0.63
APCPS/TTP/PST,0.62,0.54,0.72,0.63
MPDC/APCPS/TTP/PST,0.67,0.51,0.75,0.64
APCPS/Entropy/TTP,0.7,0.56,0.71,0.65
MPDC/APCPS/Entropy/TTP,0.71,0.54,0.68,0.65
APCPS/PD/Entropy/PST,0.8,0.51,0.67,0.66
Entropy/TTP/PST,0.83,0.47,0.67,0.66
MPDC/APCPS/TTP,0.71,0.56,0.71,0.66
MPDC/PD/Entropy/PST,0.8,0.51,0.67,0.66
PD/Entropy/PST,1,0.48,0.5,0.66
APCPS/Entropy/PST,0.8,0.49,0.71,0.67
MPDC/APCPS/PD/Entropy/PST,0.8,0.52,0.7,0.67
PD/TTP,0.67,0.54,0.8,0.67
MPDC/Entropy/TTP,0.78,0.57,0.68,0.68
MPDC/PD/TTP,0.7,0.61,0.75,0.69
PD/Entropy/TTP,0.75,0.54,0.79,0.69
PD/PST,1,0.48,0.6,0.69
MPDC/APCPS/Entropy/PST,0.8,0.51,0.78,0.7
MPDC/Entropy/TTP/PST,0.83,0.52,0.73,0.7
APCPS/Entropy/TTP/PST,0.86,0.55,0.75,0.72
APCPS/PD/TTP,0.78,0.61,0.78,0.72
MPDC/APCPS/Entropy,1,0.44,0.71,0.72
MPDC/APCPS/Entropy/TTP/PST,0.83,0.55,0.76,0.72
MPDC/APCPS/PD/Entropy/TTP,0.88,0.6,0.7,0.72
MPDC/PD/Entropy/TTP,0.88,0.6,0.7,0.72
APCPS/Entropy,1,0.43,0.75,0.73
APCPS/PD/Entropy/TTP,0.88,0.61,0.74,0.74
MPDC/APCPS/PST,0.75,0.47,1,0.74
MPDC/PD/PST,1,0.52,0.7,0.74
PD/Entropy/TTP/PST,1,0.51,0.73,0.75
APCPS/PD,0.8,0.49,1,0.76
APCPS/PD/PST,1,0.51,0.78,0.76
MPDC/APCPS/PD/TTP,0.88,0.64,0.79,0.77
APCPS/PD/Entropy/TTP/PST,1,0.59,0.76,0.78
APCPS/PD/TTP/PST,1,0.57,0.78,0.78
MPDC/APCPS/PD/TTP/PST,1,0.56,0.78,0.78
MPDC/PD/Entropy/TTP/PST,1,0.57,0.76,0.78
PD/TTP/PST,1,0.51,0.82,0.78
MPDC/APCPS/PD/Entropy/TTP/PST,1,0.61,0.78,0.79
MPDC/APCPS/PD/PST,1,0.54,0.83,0.79
MPDC/PD/TTP/PST,1,0.59,0.78,0.79
APCPS/PD/Entropy,1,0.46,1,0.82
MPDC/APCPS/PD/Entropy,1,0.47,1,0.82
MPDC/PD,1,0.46,1,0.82
MPDC/PD/Entropy,1,0.45,1,0.82
MPDC/APCPS/PD,1,0.49,1,0.83
